CV Test Sol
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1.]"
1.0979579150762404 1.0365746209546811 "[4. 5. 4. 5. 1. 3. 1. 5. 4. 4. 2. 3. 3. 5. 3. 5. 5. 5. 2. 3. 4. 3. 2. 7.
 4. 4. 5. 7. 4. 2. 3. 4. 6. 5. 2. 3. 5. 2. 5. 3. 6. 2. 5. 4. 1. 4. 1. 2.
 4. 4. 2. 6. 3. 1. 4. 5. 3. 5. 3. 4. 5. 2. 2. 3. 5. 4. 2. 1. 4. 2. 3. 6.
 2. 5. 6. 4. 3. 0. 4. 5. 2. 3. 4. 4. 6. 6. 5. 5. 3. 1. 3. 4. 6. 1. 3. 3.
 4. 2. 3. 2. 6. 6. 4. 5. 4. 1. 6. 3. 1. 2. 2. 5. 4. 3. 4. 3. 3. 3. 4. 0.
 2. 3. 4. 5. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]"
1.0784024935427874 1.0279217807136525 "[2. 4. 1. 4. 4. 4. 2. 3. 5. 7. 4. 3. 2. 6. 5. 7. 5. 3. 2. 6. 5. 6. 5. 2.
 3. 2. 3. 4. 5. 1. 1. 6. 3. 3. 4. 6. 1. 5. 6. 4. 2. 5. 3. 3. 5. 5. 2. 6.
 4. 2. 6. 3. 4. 2. 3. 4. 1. 3. 3. 6. 6. 3. 4. 1. 1. 2. 4. 5. 3. 1. 2. 4.
 2. 5. 6. 4. 4. 1. 4. 3. 5. 1. 3. 2. 6. 4. 5. 4. 6. 7. 2. 5. 1. 6. 5. 4.
 5. 4. 4. 4. 4. 1. 3. 3. 6. 3. 2. 2. 6. 6. 3. 6. 4. 7. 4. 4. 5. 4. 5. 5.
 5. 7. 2. 7. 1. 1. 1. 1. 1. 0. 1. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 0. 1.
 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 0.]"
1.0777476742479508 1.043254345622447 "[4. 1. 2. 6. 1. 6. 2. 2. 2. 5. 7. 4. 2. 4. 2. 7. 4. 4. 5. 5. 4. 5. 6. 2.
 6. 1. 4. 6. 1. 1. 2. 6. 2. 3. 6. 4. 3. 6. 4. 2. 3. 7. 4. 6. 5. 4. 4. 4.
 6. 1. 6. 5. 1. 3. 4. 1. 2. 3. 6. 7. 5. 3. 6. 2. 1. 2. 4. 6. 2. 2. 5. 1.
 3. 5. 5. 4. 3. 1. 4. 7. 5. 3. 3. 3. 6. 3. 4. 5. 5. 6. 1. 0. 2. 4. 1. 4.
 3. 2. 3. 3. 5. 1. 1. 3. 5. 1. 3. 1. 7. 6. 5. 5. 4. 7. 2. 3. 4. 1. 4. 7.
 4. 5. 5. 5. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1. 1. 1.
 0. 1. 1. 1. 1. 0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1. 0.
 1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]"
1.0512291024294502 1.03127460387855 "[5. 3. 6. 3. 4. 3. 3. 2. 6. 5. 1. 3. 6. 1. 1. 3. 1. 3. 3. 6. 3. 1. 7. 6.
 4. 6. 5. 4. 2. 1. 7. 6. 7. 2. 2. 3. 2. 2. 2. 4. 1. 3. 5. 5. 2. 5. 6. 1.
 2. 6. 3. 3. 5. 6. 7. 5. 2. 2. 1. 2. 5. 7. 2. 5. 5. 3. 6. 2. 2. 2. 1. 2.
 5. 4. 2. 1. 4. 0. 3. 7. 4. 1. 2. 3. 2. 0. 0. 1. 1. 5. 3. 4. 1. 2. 4. 5.
 4. 0. 5. 6. 6. 2. 1. 6. 1. 5. 0. 7. 5. 4. 6. 4. 1. 5. 7. 3. 4. 6. 3. 6.
 5. 3. 1. 7. 1. 0. 1. 0. 1. 1. 1. 1. 1. 1. 1. 0. 1. 0. 1. 0. 0. 1. 1. 1.
 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 0. 1.
 1. 0. 1. 0. 0. 1. 0. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1.]"
1.0757976872994246 1.0615335992666406 "[2. 3. 3. 3. 3. 5. 2. 5. 7. 4. 5. 7. 4. 1. 3. 3. 7. 7. 5. 5. 5. 6. 5. 1.
 2. 1. 2. 4. 4. 4. 7. 2. 4. 6. 3. 1. 4. 5. 3. 6. 4. 4. 4. 4. 3. 5. 4. 1.
 3. 2. 4. 5. 2. 4. 5. 4. 3. 4. 5. 4. 3. 4. 4. 3. 2. 3. 4. 2. 3. 0. 3. 3.
 1. 1. 3. 1. 5. 2. 2. 6. 3. 3. 4. 2. 3. 2. 5. 3. 5. 6. 4. 4. 4. 4. 3. 7.
 5. 5. 5. 2. 3. 5. 6. 4. 6. 6. 3. 3. 6. 2. 4. 4. 2. 6. 0. 2. 3. 3. 6. 7.
 4. 1. 1. 4. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 0. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 0. 1. 0. 1. 1.
 0. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 0.]"
1.0812582694672566 1.0305339588931106 "[1. 5. 2. 3. 6. 3. 2. 3. 7. 7. 2. 3. 3. 7. 7. 6. 5. 3. 1. 6. 4. 7. 4. 2.
 2. 2. 3. 3. 7. 2. 2. 5. 4. 4. 4. 6. 1. 4. 7. 5. 2. 4. 4. 2. 5. 4. 2. 6.
 2. 2. 6. 3. 6. 2. 3. 5. 2. 3. 2. 4. 7. 3. 3. 0. 1. 2. 4. 4. 3. 2. 0. 5.
 3. 4. 7. 4. 5. 1. 4. 1. 4. 1. 3. 2. 5. 4. 5. 3. 7. 6. 4. 6. 2. 6. 7. 4.
 5. 5. 5. 4. 3. 1. 5. 4. 6. 5. 1. 3. 4. 6. 3. 7. 4. 7. 5. 5. 4. 5. 5. 3.
 6. 6. 2. 6. 1. 1. 1. 1. 1. 0. 1. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 0. 1.
 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 0.]"
1.099867817660111 1.0406094448649823 "[4. 5. 4. 3. 2. 6. 7. 4. 1. 2. 3. 6. 3. 5. 2. 3. 4. 7. 3. 1. 2. 5. 6. 4.
 2. 4. 2. 4. 6. 1. 6. 2. 4. 7. 4. 2. 6. 5. 5. 4. 2. 3. 2. 4. 1. 4. 5. 2.
 3. 1. 5. 2. 2. 5. 6. 3. 4. 6. 3. 6. 1. 4. 4. 2. 2. 1. 2. 5. 6. 5. 2. 5.
 4. 2. 5. 4. 5. 3. 5. 4. 1. 3. 3. 6. 3. 4. 2. 1. 6. 3. 5. 6. 3. 6. 2. 1.
 5. 1. 2. 6. 2. 3. 2. 4. 1. 1. 2. 4. 4. 2. 6. 1. 4. 4. 3. 6. 5. 4. 1. 1.
 5. 0. 2. 4. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 0. 1. 1. 1.
 1. 0. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1.]"
1.071924320100035 1.0013817677699584 "[1 7 1 2 7 4 7 7 3 1 4 2 2 1 6 1 1 4 1 4 1 2 2 7 1 1 4 4 1 6 6 2 1 7 7 6 3
 7 3 1 4 1 1 4 7 1 7 2 7 1 1 7 5 5 7 7 3 7 2 4 6 1 1 3 0 4 6 7 2 4 6 7 3 4
 2 5 3 4 1 0 7 5 2 4 1 3 2 2 2 3 4 6 6 0 1 1 0 0 4 1 0 3 3 4 3 1 7 3 1 6 2
 0 6 6 1 1 1 7 4 5 6 6 7 5 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1
 1]"
1.098207958011138 1.0219530345487773 "[7 4 1 4 1 1 5 5 1 4 5 6 6 5 6 4 4 4 5 3 4 1 7 4 4 6 4 1 7 4 2 2 1 5 1 6 1
 4 3 6 6 4 3 1 3 5 1 7 4 7 6 2 3 6 3 1 7 5 5 1 4 1 3 0 1 7 5 1 3 3 2 3 4 7
 6 3 6 7 6 5 1 4 7 4 0 1 2 6 3 1 7 7 1 2 0 4 2 3 6 5 5 7 1 7 0 4 1 3 1 0 2
 7 1 6 6 0 0 7 7 0 2 0 6 3 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1
 1]"
1.0687718888576758 1.0237478550465846 "[4 1 1 2 3 4 5 6 3 6 7 3 1 1 6 1 1 6 5 4 1 2 2 7 5 1 1 4 1 6 2 5 1 7 1 6 2
 1 2 5 4 4 1 6 5 6 6 1 1 4 6 1 1 1 7 4 7 7 1 3 6 1 7 3 4 3 6 7 4 7 2 7 3 4
 5 5 6 0 7 5 6 6 4 7 6 3 6 3 2 0 0 6 0 2 3 0 0 6 6 1 0 7 2 2 3 1 5 6 5 6 5
 2 3 1 4 1 1 7 4 6 3 6 6 5 1 0 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1
 1]"
1.0689200058519848 1.0484986981225612 "[7 2 1 1 7 1 5 1 2 4 4 1 1 5 6 1 4 6 5 2 3 4 7 5 4 1 3 5 7 3 5 4 7 1 1 3 3
 6 1 6 1 2 3 1 1 4 1 4 1 7 6 1 3 1 6 2 1 1 1 2 1 5 4 6 1 7 7 1 3 6 4 7 7 3
 1 7 6 7 6 2 2 4 7 0 1 3 4 0 1 1 1 5 5 6 7 4 6 2 3 6 5 7 5 5 0 2 6 2 3 0 2
 4 1 3 6 4 0 4 0 0 3 0 4 7 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1
 1]"
1.0789253575635738 1.016743167202969 "[1 3 1 4 1 1 2 3 3 2 5 6 2 3 5 3 1 5 1 4 3 1 3 5 6 1 4 5 1 4 2 3 1 6 1 6 1
 4 3 3 4 6 5 1 1 2 5 3 4 3 6 2 1 3 3 1 7 4 3 6 4 3 4 0 6 5 0 2 6 4 2 3 4 7
 4 5 4 6 6 2 1 7 5 4 5 2 2 0 6 4 7 0 7 2 1 7 4 4 0 5 4 7 1 3 1 4 7 7 1 0 0
 7 7 6 6 2 4 7 3 0 4 2 4 2 1 1 1 0 1 1 1 1 1 1 1 1 0 1 0 0 1 1 1 1 1 1 1 1
 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1]"
1.1102296819304562 1.041503309755559 "[6 6 1 1 5 1 6 5 1 1 6 3 1 5 6 2 4 6 5 3 3 1 7 5 4 1 5 1 7 6 5 2 7 5 1 7 3
 1 3 6 6 1 3 1 4 3 1 4 7 7 5 1 3 6 4 6 6 6 2 1 5 1 6 2 4 7 5 0 5 7 2 4 7 0
 1 1 5 6 4 2 5 4 1 1 0 3 5 3 1 1 6 3 5 6 7 4 2 2 4 5 0 7 3 7 1 4 3 7 1 3 2
 5 0 0 6 0 1 1 7 7 2 0 4 3 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1
 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1
 1]"
1.0729096822400597 1.002142339082353 "[7 1 4 5 7 7 3 1 5 2 5 4 3 6 2 1 3 4 1 6 6 2 1 1 1 4 5 3 1 1 1 1 7 4 5 7 6
