,mslpEurope_cluster1,mslpEurope_cluster2,mslpEurope_cluster3,mslpEurope_cluster4,mslpEurope_cluster5,smEurope_cluster1,smEurope_cluster2,smEurope_cluster3,smEurope_cluster4,smEurope_cluster5,tmaxEurope_cluster1,tmaxEurope_cluster2,tmaxEurope_cluster3,tmaxEurope_cluster4,tmaxEurope_cluster5,z500Europe_cluster1,z500Europe_cluster2,z500Europe_cluster3,z500Europe_cluster4,z500Europe_cluster5,sstWorld_cluster1,sstWorld_cluster2,sstWorld_cluster3,sstWorld_cluster4,sstWorld_cluster5,sstMediterranean_cluster1,sstMediterranean_cluster2,sstMediterranean_cluster3,sstMediterranean_cluster4,sstMediterranean_cluster5,olrTropics_cluster1,olrTropics_cluster2,olrTropics_cluster3,olrTropics_cluster4,olrTropics_cluster5,weekofyear,data_CO2
2015-07-23,-71.5144425,-378.68882675,-196.2408575,-713.9317500000001,-433.66371,-0.0281752934999999,-0.0077308025374999,-0.0126571779375,-0.009221574695,0.046914403375,1.00671863,3.01298655,-2.19240924875,0.0206035662499999,1.5315196325,0.174422275000001,-102.5380125,18.763822025,-91.827326625,-57.904733375,0.1954117268323897,0.5787715315818787,0.0171736689517274,0.8525629565119743,1.6030332446098328,2.253018945455551,1.3142016232013702,1.5815514624118805,2.525254428386688,2.6279618442058563,-31.6981915,3.454165150000001,6.9500167375,-8.1073660125,13.7263419625,30,400.1656475
2015-07-30,-171.02442125000002,152.8684325,-159.8938185,0.218298749999974,-404.082172625,-0.02055480375,-0.0209422365,0.0037931037499999,-0.0231310398875,0.046954387,2.11431165,3.434950325,-1.66550368125,1.05274482625,0.5105636550000001,8.026754125,-80.18044037499999,40.35546275,-41.2326824125,-1.408236125000002,0.2652242723852396,0.6721421480178833,0.0081689447397365,0.7917460501194,1.795099437236786,2.3536368012428284,1.7261047214269638,1.704245999455452,1.8893041908741,1.8739726841449735,-23.777587375,4.0175982625,1.19950086625,-4.09033989375,9.1033987125,31,400.22636875
2015-08-06,-371.0563525,222.927443,56.442382125,475.89582625,265.192611875,-0.019316927625,-0.044182637,0.0037868264125,-0.0723360336249999,0.032699711125,5.9510555875,1.7476934625,0.8345738312500001,1.0797053,4.5982297125,22.04182355,20.53571005,42.910205,-26.12820575,88.67368875,0.2789556290954351,0.6571072489023209,0.0134909091284498,0.6829437911510468,1.7309857606887815,1.850730821490288,1.5438891053199768,1.5265603065490725,2.0073108971118927,1.7554503977298737,-19.85779325,5.3575790375,6.0811804125,-5.9703627875,-3.2307167875,32,400.28709125
2015-08-13,203.284618,-33.304526624999994,7.464930624999994,982.26803375,-87.948382625,-0.0076099588875,-0.0048812793,0.0046417421,-0.06607170875,-0.003831486375,1.8853263075,2.6607749125,1.982373225,-1.24810806875,-1.0462620125000002,-16.0049075625,-11.7364148,15.602337495,74.782033,108.61487775,0.3102092258632183,0.714857779443264,0.0382757878396659,0.644515372812748,1.691478654742241,1.2341399565339088,1.707039326429367,2.01663276553154,0.9631735682487488,1.13663649559021,-8.958173924999999,2.5799812125,8.8997534625,-12.7047799875,4.435017616250001,33,400.34780875
2015-08-20,-301.230265,338.57114025,5.438604875000003,831.9528452500001,-762.096853625,0.0041249003824999,0.0017864652,0.00606621501875,-0.08869735625,-0.049940806375,1.10131045375,0.3850616575,4.74602215,0.3831306274999999,1.9571938425,0.5069481250000001,-95.960148625,21.39123145,54.28976275,133.403645625,0.3349825963377952,0.7517765089869499,0.0285973125137388,0.5077453553676605,1.7669464349746704,0.8773351609706879,1.3523594737052915,0.9752420987933872,0.4362880513072014,0.6367160901427269,-10.546344375,4.4842224875,3.6579739625,-16.731342337500003,9.735795425,34,400.4085275
2015-08-27,300.68486499999995,153.07026875000005,19.0107425,41.961481250000006,84.70667875000001,-0.020222707125,-0.0052825295825,0.00447811934625,-0.08116409525,0.0030344858874999,5.759419925,1.380952305,0.5572936,0.8260025874999999,2.7688617312500003,17.302837212500002,-41.88914487500001,61.121964125,32.094057500000005,27.404941875,0.3518232218921184,0.7278716638684273,0.0216961910482495,0.4431421719491482,1.8834973275661469,1.260803908109665,1.2220405787229538,0.8579332791268826,1.1668582037091255,0.6751236543059349,-17.615178,2.906396825,14.506155875,-10.9207432625,1.0254152775,35,400.4692525
2015-09-03,1004.99722,-11.42516875000004,9.961523749999998,186.72726,664.81082125,-0.022702214,-0.0017857922574999,0.01916645525,-0.0220586408875,0.00509298800375,-0.6058522500000002,4.175536925,0.5234106895,-1.0739772799999998,1.18579134675,-21.218558825,49.3546007875,30.038473875,131.45763,2.030236624999997,0.4071729630231857,0.6815798059105873,0.00732959582092,0.4364759624004364,1.9629127234220505,1.368965983390808,1.6199602633714676,1.5698447972536087,0.8089401908218861,0.4483082126826048,-14.8260454375,3.792434275,8.3393353375,-9.150805425,2.4107247162500007,36,400.529975
2015-09-10,-31.63535374999998,285.9879495,-211.08898335,1006.60601125,-1042.62107375,-0.00814458433,0.008420041,0.008923549025,-0.034019936625,-0.0138863174624999,2.327551424,3.3605222875000003,3.889229575,0.1259540645,1.2619190319999998,-21.2333378625,-126.75046675000002,58.4982495,64.9837241625,147.447067,0.3754252828657627,0.7397141307592392,0.0017014689728966,0.347117830067873,2.010808914899826,1.136919766664505,1.6449568271636963,1.3701969534158709,0.7865445427596569,0.4700460992753505,-14.931228999999998,2.98564300515,0.7624758749999998,-10.256854375,9.3403932375,37,400.59069375
2015-09-17,-237.062750375,-226.982857,-45.733523375,-180.54467312500003,-97.80385025,-0.022964406875,0.0175106341875,-0.01452057945,-0.054288627375,0.0214635204125,3.2229160275,3.1461448875,3.0117594375000003,0.2469923237499999,6.95533925,4.238697,-14.674123725,42.88050925,24.67954325,68.64777724999999,0.375331986695528,0.7927882820367813,-0.0040961861086543,0.3499204814434051,2.0746563971042637,1.2793414667248726,1.5704375803470612,2.1484709084033966,0.9659015610814096,0.2639780563767999,-15.7743080375,5.031680225000001,6.7972372875,-12.74070455,-0.9662725625000002,38,400.6514125
2015-09-24,817.676373,368.231746375,60.31521225,819.583755,1206.6243035,0.0029145299662499,-0.0084507287875,-0.017389933025,-0.052822815625,0.0148159565,-0.95080162625,2.1525186562500003,2.8510061125,-0.7234046025,5.6148775625,-10.6779347625,146.991076875,29.7751335,119.960355125,108.962405375,0.4261419214308262,0.8030959814786911,0.0106712819106177,0.3763599395751953,2.118974804878235,0.6912677958607674,1.500260964035988,3.0714643597602844,0.1704421635949984,0.1326101468876003,-14.737502875,4.8855183625,8.37794495,-16.8097513,3.6345902,39,400.7121375
2015-10-01,155.84969425,115.73535750000003,15.51751999999999,434.91618625,4.511791249999988,0.0062314547756249,-0.0167068466875,-0.00328882527625,-0.064251421125,0.0027516876375,0.683505115,0.9354899125,-0.39751299625,0.7968428499999999,0.5459454662500001,10.2271205375,29.21270325625,21.28231975,63.94994187500001,12.86525975,0.4853709153831005,0.7836349233984947,-0.0052119509491603,0.2088859630748629,2.1414882838726044,0.7057321295142174,1.1998386830091476,2.3784142285585403,0.0945356847951188,0.170075939502567,-22.74633775,2.24844955,12.933474812499998,-16.353632925,15.29389525,40,400.77286
2015-10-08,979.04859375,214.3494075,-356.69368625,1391.079225,709.0872075,0.018404323875,-0.0036437727499999,0.020766782125,-0.071853884875,-0.013377409875,-3.652121625,0.1257483374999999,-0.1680356362499999,-0.5626813481249999,-4.3519981125000005,-30.73030975,56.866123631250005,-4.569970499999998,112.758294875,71.46374,0.5077932439744473,0.7868949174880981,-0.0108717773109674,0.1128425225615501,2.1068729162216187,0.8974923491477966,1.1681744754314425,0.7945330515503883,0.1221961216069757,0.4111931920051574,-27.769515625,2.58738725,10.502891875,-2.79454409625,11.3424281625,41,400.83357875
2015-10-15,472.1544125,55.08852625,-297.4714675,587.8675222375,836.0985724999999,0.0054716556999999,0.0062673744124999,0.0209282203787499,-0.07367814875,-0.0153045588825,-1.3949825875,2.7143784125,2.0124011050000004,-0.5727319587499999,-1.234424583125,-26.789519625,116.49040125,23.769026325,112.28288825,99.575935475,0.5128208324313164,0.8564572930335999,-0.0020691393583547,0.1074155997484922,2.102213829755783,0.9302744045853616,1.3150495439767838,0.3123475387692451,0.0998626169748604,0.5239359587430954,-13.201738375,0.53852683375,16.9133875,-1.3953191425000002,6.7673354625,42,400.8942975
2015-10-22,-170.88208074999994,19.356438375,-104.855107875,104.26075000000004,-217.00644000000003,0.030857670875,-0.0090076446625,0.025589795625,-0.03700704075,0.0022244359674999,0.28339151875,-0.2537441912499998,1.991457154055,0.4365564325,-1.0571396975,19.5821114175,3.310963837500001,-5.219565649999999,27.0785505,44.940906575,0.5370783358812332,0.8356081023812294,-0.0153723854455165,0.1533220391720532,2.166546761989593,0.7083236426115036,1.1881180927157402,0.4728035070002079,0.0434068094473332,0.5708807036280632,-14.626361125,-0.03178776,19.2551645,10.1045845,0.0528230549999999,43,400.955015
2015-10-29,142.86185937500002,789.6432475000001,104.38872325,647.9511155,158.82092,0.0131179979,-0.018181030475,0.0261143144125,-0.0524671515,-0.0012287229875,1.3840935425,-1.1204725675,3.376709095,1.88118785875,0.7662020125,43.330565500000006,92.39804425,72.62707137499999,110.255020875,153.32788875,0.4980798624455929,0.8577252477407455,-0.0195282686036079,0.1403639409691094,2.3417086601257324,0.5046957433223724,0.7281827814877033,0.2627263226313516,0.2375091984868049,0.6098066195845604,-10.891823075,-3.218095625,3.95943191625,16.288920125,2.98944269375,44,401.015735
2015-11-05,-1062.31073375,72.89615949999998,539.8057974999999,-98.32856299999996,41.55199124999999,-0.0079708414875,-0.01497338925,-0.00488556675,-0.040098092,0.00660867005,4.787529037500001,0.13229489125,2.06311567,3.3934902,1.5007595756249996,145.05292475,49.718551625,49.407341375,-37.395506125,44.22823687500001,0.5129116848111153,0.7346478179097176,-0.0140362749516498,0.2040874399244785,2.2635607421398163,0.6843926161527634,0.5905622467398643,0.391437092795968,0.6870682947337627,0.8634960204362869,-23.352057375,0.053682,7.358253662499999,-1.9330422999999997,-7.7887043375,45,401.07645625
2015-11-12,-868.10029125,-195.68564625,554.0228950000001,-707.5163378375,-191.15735775,-0.0177595578125,-0.01093984835,-0.0413464243749999,-0.0041908536249999,0.0045107087,5.265307825,0.98757128375,1.01315801375,2.565746325,1.4905683875,123.65321875,-0.8725865375000001,29.8832181875,-100.44409825,-47.3293203125,0.5188162736594677,0.6006771475076675,-0.0020693295227829,0.2659389767795801,2.33078807592392,0.8970898538827896,0.8093269616365433,0.4826124384999275,0.9911531507968904,1.102601334452629,-16.998489125,1.8584379195,8.851332724999999,-6.676055475,-7.861428099999999,46,401.13717375
2015-11-19,-404.95072625,-708.8217255499999,214.81372575,-1061.68189,460.7077507375,-0.016118947875,0.0072081583875,-0.038731928,0.0131253907375,-0.0015636218875,0.9261605428750002,3.08176792125,0.65891343875,-0.4062078962499998,3.57682375875,14.164819441875,55.7801204625,11.158300374999998,-59.642220875,-99.000742125,0.4972082674503326,0.5990868732333183,-0.0167082843254319,0.2293959967792033,2.3084054589271545,0.9513048082590104,1.0075438246130943,0.9577592760324478,0.6997564882040024,0.8716773129999638,-25.308436,1.0164078825,12.368223125,8.855131025,-7.3966171875,47,401.19789625
2015-11-26,-1728.74325375,-254.87436425,496.269455,-1363.87414375,133.941847125,-0.00338497731875,0.00518426473125,-0.0486076685,-0.0028735515374999,0.0137483091,1.3358681,1.42741248125,4.3304241875,1.1448411125,1.4943314412500002,89.322669091875,26.6459475,-8.276219062500001,-176.17300075000003,-46.1350759375,0.5534841269254684,0.541625339537859,-0.026359376090113,0.237159227952361,2.3102425038814545,0.5262767262756824,0.9075696915388108,1.1461665704846382,0.1502326251938938,0.5288738422095776,-31.878022625,2.57866745,17.529050187499998,4.9187866875,-15.781455125,48,401.25862
2015-12-03,-1355.86723125,1122.384955,1049.032135,-803.93363765,314.61440125,-0.020498367125,-0.004749433085,-0.064848107125,0.0031053464375,0.0170885270625,3.7246750125,-1.19715066125,5.5452775625,2.2819648000000003,5.1928267,133.595062375,37.049974250000005,125.35775800000002,-105.327543375,39.734998125,0.5613745003938675,0.5474769845604897,-0.0373006628360598,0.2400065828114748,2.343286573886872,0.6203279569745064,0.684203252196312,0.8422804921865463,0.3392919898033142,0.5944911986589432,-24.595710500000003,2.910386575,13.1380929,12.6802975,-15.364684875,49,401.31934375
2015-12-10,127.47571125000005,629.7376775,493.8685537500001,-80.86428375,34.82905162499998,-0.03186802825,-0.00524308465,-0.07217135825,-0.0068932814,0.0116750570374999,2.25626325,0.260489315,1.7484215257500002,2.35152323125,2.89755253375,94.6156395,35.62425,42.3791595,16.066335374999994,-13.891215875,0.6231388077139854,0.5855863019824028,0.0038468173588626,0.2233760636299848,2.3631720542907715,0.6560717225074768,0.5291513651609421,0.7977757826447487,0.5287158787250519,0.8301259428262711,-11.71831915,2.141844205,0.3005086875,13.23889075,-6.922110937499999,50,401.3800575
2015-12-17,-1969.5613125,626.1884075,728.88274625,-964.98375,-588.7355325,-0.033678784125,-0.006480510125,-0.076971978625,0.0113840446874999,0.02061061,6.0017386125000005,0.91563332,5.73322523125,3.9730234375,7.369961946249999,127.34540324999998,-18.3484829625,109.336157,-71.886082025,57.8199376625,0.6407099962234497,0.5477908551692963,0.0595940807834267,0.2564761396497488,2.2074116468429565,0.7411431670188904,0.6423001140356064,1.1252250745892525,0.7801557704806328,1.0842996388673782,-33.131125749999995,1.99643572425,-6.1617127075,-8.949465871249998,0.76182001625,51,401.44078
2015-12-24,-458.08402000000007,952.19071625,607.4658812499999,956.660135,-319.287613,-0.0398038295,-0.012926284375,-0.077099818625,0.0060388948625,0.017830480125,3.991029175,1.0966393375,3.4965903875,2.9710796,2.934973775,105.80529125,-27.68784245,81.65335912500001,7.734752374999999,126.422392875,0.5270785316824913,0.604333370923996,0.0549256657250225,0.1983326245099305,2.136948585510254,0.7929875552654266,0.8113882467150688,1.311758503317833,0.8816752582788467,1.1647326797246933,-34.1008375,0.395199895,6.3263164925,-4.21232426375,7.4116285125,52,401.501505
2016-01-01,300.15721125000005,-541.24897875,-464.7515675,1325.7537732,-1626.02583625,-0.0099166097574999,-0.0017809535375,-0.045956688125,-0.0075857923625,0.007363279675,-3.403843635,-1.6767154524999996,-5.6907689375,2.42685317,-7.6405303,-11.536346125,-154.90751975,-71.1380535875,30.25949658125,3.036578249999998,0.626249834895134,0.6001174971461296,0.0685058431699871,0.153418980538845,2.062987595796585,0.8280777633190155,0.3867546692490577,0.2206929866224527,0.8949699699878693,1.305985063314438,-32.083454125,-0.0897948712499999,28.060060125,-1.1376657518750006,3.7314164875000007,1,401.5709025
2016-01-08,667.8065257056251,-1071.9226325,-351.299593625,-47.76181367499999,-1078.415498125,0.0010091636124999,0.01034520195,-0.0367968845,0.00749912389,0.007750717225,2.05596149875,2.5913545875,-6.4568295125,2.0287777075,-2.2010711375,-15.75513175,-166.90075812499998,-3.0670394624999995,-46.193590375,-98.713845375,0.6538763046264648,0.6663069203495979,0.0530068255029618,0.1913783568888902,2.086915463209152,0.9410904720425606,0.6184546872973442,0.5114751048386097,0.9231354296207428,1.025137573480606,-26.618092250000004,-1.60411825,33.724105375,0.8481703499999993,-12.693822125,2,401.63162
2016-01-15,1251.37510625,-271.06360375,-95.851914625,546.917365,176.48329312500002,-0.0075357352625,-0.0057228499125,-0.035606390625,0.00305462962,0.008513425,-3.53028364625,1.0186370925,-7.057523424999999,-0.41907723375,-1.8398640175,-10.406124874999998,9.81344615,-68.18370900000001,68.50560687500001,-83.12838962500001,0.6580942496657372,0.6701915487647057,0.0544548169709741,0.1810428407043218,1.97943851351738,0.5370897464454174,0.4087335169315338,0.4755213465541601,0.3944268282502889,0.7355959340929985,-24.7945715,-1.0243287125,25.375593875,10.6661594625,-8.5349633625,3,401.6923425
2016-01-22,-1472.34075,696.80103375,782.3813625,-192.76735,-141.35374375,-0.0128928253125,0.0035693775824999,-0.042400878,0.0094468524625,0.01645606325,1.6695717,-3.4403898055,1.3618072287500005,2.8933526375,-1.7859448124999997,127.0218905,26.8195343875,10.251243187500002,-57.509673750000005,29.361935875,0.6381295993924141,0.6406239345669746,0.0503885699436068,0.1921654231846332,1.9545376300811768,0.4983067773282528,0.1708086669677868,0.0933449871372431,0.5769262835383415,0.9166217297315598,-17.061206,1.8852974375,7.47059213725,16.56794275,6.2099213625,4,401.7530625
2016-01-29,-1481.80884375,-140.61832562499998,821.4647525,-2144.8960875,-68.03907499999997,-0.0171954639375,0.0127641596499999,-0.050400467375,0.035774699625,0.016801790375,5.046804099999999,2.70559446825,3.994392475,2.2258992625,6.665090825,123.33668625,-5.111691000000002,100.301655,-155.64902625,-125.510605,0.4995261318981647,0.5812408104538918,0.0296430749003775,0.2623305488377809,1.9525178223848343,0.6922862827777863,0.4455242343246937,0.4267081767320633,0.7224937081336975,1.057774767279625,-21.244769125,2.90745814625,9.290638775,15.758931,-12.45949765,5,401.81378
2016-02-05,-1321.25586875,-259.964075625,108.64827499999998,-1224.0584625,-1870.9944675,-0.015687715,0.0172494005,-0.04172747725,0.01843387225,0.0191066388749999,4.302478724999999,1.4025706625,5.4760257125,1.988750275,5.3207175625000005,40.477878525,-194.8591195,45.34528575,-131.08997575,-8.9529280125,0.4432449676096439,0.5112886726856232,-0.0061653050070162,0.327879037708044,1.7435525506734848,0.6487092636525631,0.346468273550272,0.5093682520091534,0.5858043842017651,0.9879466965794564,-21.338703,4.102737825,6.012868225,7.921294075,-20.730844875000003,6,401.874495
2016-02-12,-258.7766312499999,-142.62481874999992,-57.88837375,251.974317,-404.0232950000001,-0.0135219648124999,0.0153526215,-0.0052063307349999,0.023670027875,0.01082151285,3.8416775,7.366003875,3.3229043875000004,-0.4984719425,5.427977374999999,-25.2171514625,-65.776307625,133.361977875,-45.92074025,82.3436896875,0.465723056346178,0.5303226932883263,-0.0273145036480854,0.2221213094890117,1.5648435056209564,1.0140148773789406,0.9526965841650964,1.2878795340657234,0.6587769016623497,0.7501410096883774,-25.89843425,3.66516565,7.765747007124999,-3.7543206625,-5.729547650000001,7,401.93521625
2016-02-19,-530.84712625,-337.2999725,137.65703100000002,-1058.37993625,-171.932653125,-0.013759752375,0.0165587553125,-0.019093983225,0.016520842125,0.0036244639125,3.4418496125,4.153770962499999,2.59264864375,0.79630062,4.3450704875,37.0153788125,-19.39878825000001,78.373758875,-87.8568975,-52.373333750000015,0.5091704316437244,0.5324181318283081,-0.0143600117153255,0.1567019317299127,1.578905150294304,0.8950653001666069,0.824523501098156,1.0989102572202682,0.654830239713192,0.606388159096241,-37.99732349999999,-0.6789807225000001,20.191901125,3.2498261875,10.8956281375,8,401.99593875
